row_id,tsv_seq,citation_key,year,title,full_name,final_tier,A1_competency_regime,A2_action_abstraction,A2_observation_type,A2_decision_formalism,A3_SPAE_pattern,A3_authority_pattern,A4_assurance_mode,A5_EVL,synthesis_set,_alias_note
20,20,eriksson2024optimizing,2024,Optimizing bucket-filling wheel loaders dream,Optimizing bucket-filling strategies for wheel loaders inside a dream environment,Tier A,Earthwork and Material Processing,Low-level,Low-dim structured proprioceptive signals augmented with recurrent world-model state where policy input stacks the predicted observation from an LSTM-plus-Gaussian-mixture density network surrogate together with LSTM hidden and cell states per Section 4.3.2 fields include boom and bucket angles lift and tilt cylinder forces machine speed and rimpull torque without vision,MDP,MB/D/MB/MB,Bounded skill or supervisory,AM1,L3,Primary,Large-scale operator logs from two quarries and two Liebherr loaders auto-segmented to about twenty thousand bucket fills train a 512-unit LSTM MDN world model predicting next observations and terminal mass three-hour PPO-GAE Stable-Baselines3 in a fast Gym dream environment with priming sparse reward min mass over target and discounted time incentive step period 225 ms versus fifteen ms WM rollouts temperature-regularized deployment runs the frozen world model online to supply recurrent state to a sixty-four neuron tanh MLP wm_controller on a twenty-four-tonne L576 ROS2 CAN outperforming IL CNN baseline and IL-plus-twenty-episode real RL fine-tune
21,21,felbrich2022autonomous,2022,Autonomous robotic additive manufacturing,Autonomous robotic additive manufacturing through distributed model-free deep reinforcement learning in computational design environments,Tier A,Additive Manufacturing and Surface Processing,Mid-level,Low-dim / compressed geometric state,MDP,MB/D/MB/MB,Bounded skill or supervisory,AM1,L2,Primary,paper-level check: reviewed in prior evidence pass; classification retained after consistency audit.
22,22,gao2026deep,2026,DRL topological scene graph bulldozer,Deep reinforcement learning coupled with topological scene graph for dynamic path planning of autonomous bulldozer in complex earthwork construction,Tier A,"Navigation, Layout, and Logistics Support",Mid-level,Low-dim scene-graph / value-point state,MDP,MB/D/MB/MB,Task/planner-level,AM2,L3,Primary,paper-level check: reviewed in prior evidence pass; classification retained after consistency audit.
23,23,gruetter2025towards,2025,Towards Learning Boulder Excavation,Towards Learning Boulder Excavation with Hydraulic Excavators,Tier A,Earthwork and Material Processing,Low-level / joint-velocity reference,Low-dim sparse point-cloud + proprioceptive state,POMDP,MB/D/MB/MB,Bounded skill or supervisory,AM2,L3,Primary,paper-level check: reviewed in prior evidence pass; classification retained after consistency audit.
24,24,hanqing2024novel,2024,Novel 3-D Crane Lifting Path Planning,A Novel 3-Dimensional Crane Lifting Path Planning Method Based on Reinforcement Learning,Tier B,Material Placement and Lifting,High-level,C-space / planner-state representation,MDP,MB/D/MB/MB,Task/planner-level,AM0,L0,Contextual,paper-level check: reviewed in prior evidence pass; classification retained after consistency audit.
25,25,helian2025reinforcement,2025,RL Autonomous Control Hydraulic Excavators,Reinforcement Learning-Based Autonomous Control Methodology of Hydraulic Excavators,Tier A,Earthwork and Material Processing,Low-level,Low-dim hydraulic/mechanism state,MDP,MB/D/MB/MB,Bounded skill or supervisory,AM0,L0,Primary,paper-level check: reviewed in prior evidence pass; classification retained after consistency audit.
26,26,hu2026bayesian,2026,Bayesian RL adaptive energy recuperation,Bayesian reinforcement learning for adaptive control of energy recuperation in hydraulic excavator arms,Tier B,Earthwork and Material Processing,Low-level,Low-dim belief/hydraulic state,POMDP,MB/D/MB/MB,Residual learning within classical control,AM3,L0,Contextual,paper-level check: reviewed in prior evidence pass; classification retained after consistency audit.
27,27,huang2023dexterous,2023,Dexterous manipulation construction tools,Dexterous manipulation of construction tools using anthropomorphic robotic hand,Tier A,Structural Assembly and Installation,Mid-level,Low-dim observation,MDP,MB/D/MB/MB,Bounded skill or supervisory,AM0,L0,Primary,
28,28,huang2023imitate,2023,To imitate or not to imitate,To imitate or not to imitate: Boosting reinforcement learning-based construction robotic control for long-horizon tasks using virtual demonstrations,Tier A,Structural Assembly and Installation,Mid-level,Low-dim VR / object / robot state,MDP,MB/D/MB/MB,Bounded skill or supervisory,AM0,L0,Primary,paper-level check: reviewed in prior evidence pass; classification retained after consistency audit.
29,29,Jang2026,2026,Anti-swing overhead crane multi-body dynamics,Anti-swing overhead crane control algorithm based on multi-body dynamics using reinforcement learning,Tier B,Material Placement and Lifting,Mid-level,Low-dim crane/load dynamic state,MDP,MB/D/MB/MB,Bounded skill or supervisory,AM0,L0,Contextual,paper-level check: reviewed in prior evidence pass; classification retained after consistency audit.
30,30,jin2023learning,2023,Learning excavation rigid objects offline,Learning excavation of rigid objects with offline reinforcement learning,Tier A,Earthwork and Material Processing,Mid-level,Low-dim bucket pose/velocity/contact-force state,MDP,MB/D/MB/MB,Bounded skill or supervisory,AM2,L2,Primary,paper-level check: reviewed in prior evidence pass; classification retained after consistency audit.
31,31,jin2025path,2025,Path Planning Building Robots,Path Planning and Control of Building Robots Based on Reinforcement Learning Algorithm in Intelligent Construction,Tier B,"Navigation, Layout, and Logistics Support",Mid-level,Low-dim discrete grid-style state capturing robot and goal coordinates relative to randomly placed static obstacles and moving barriers in a ten-by-ten meter simulated intelligent construction scene used for tabular Q-learning updates without embodied sensing stack,MDP,D/D/MB/MB,Residual learning within classical control,AM0,L0,Contextual,Tabular Q-learning with immediate reward rewritten by fused gravitational and repulsive artificial potential energies per Eqs 2-4 with weights lambda1 lambda2 targeting sparse reward and local optimum issues benchmarks against vanilla Q-learning and classical A-star under simple moderate and complex obstacle densities metrics include path length collision counts convergence time thirty-second collision-free success rate and wall-clock computation deep reinforcement learning cited only peripherally conclusions no physical construction robot trials Procedia SPIoT2024 track open access Elsevier CC BY-NC-ND
32,32,jin2026harnessing,2026,Harnessing Human Expertise,Harnessing Human Expertise for High-Precision Robotic Assembly in Industrialized Construction: A Sample-Efficient Installer-in-the-Loop Interactive Reinforcement Learning Framework,Tier A,Structural Assembly and Installation,Low-level chunked end-effector delta-pose plus binary vacuum command,High-dim multimodal dual-RGB observation (wrist+side 128x128x3) fused with low-dim 18D proprioception (joint states and end-effector pose),POMDP,H/D/H/H,Bounded skill or supervisory,AM2,L0,Primary,"Installer-in-the-loop offline-to-online RL for tolerance-critical window seating with 2 mm per-side clearance in MuJoCo; policy observes dual-view RGB and proprioception and outputs fixed-horizon action chunks (h=10) of 7D controls (6D incremental end-effector pose plus binary vacuum), tracked by an OSC controller. Learning pipeline has three stages: offline demonstration pretraining, non-updating warm-start value calibration, and online fine-tuning with event-driven binary human takeovers at high-risk contact boundaries (binding/wedging/jamming). RL backbone uses chunk-level Q-learning with a flow-based multimodal sequence prior (QC-FQL style teacher-student distillation) under sparse terminal acceptance-aligned reward; replay mixes offline demos and online interactions in matched ratio. Reported simulator stress tests show strong seated success under bounded pose/friction randomization with low cumulative takeover time, but evidence remains simulation-only and explicitly notes no formal deployment safety guarantees."
33,33,kadokawa2025progressive,2025,Progressive-resolution policy distillation,Progressive-resolution policy distillation: Leveraging coarse-resolution simulations for time-efficient fine-resolution policy learning,Tier A,Earthwork and Material Processing,Mid-level,Low-dim structured proprioceptive-plus-perception vector with estimated rock pose from RGB-D camera bucket pose from encoder and binary force-contact state from force sensor excluding raw images and particle fields,MDP,MB/D/MB/MB,Bounded skill or supervisory,AM0,L3,Primary,PRPD curriculum over simulation resolution from coarse to fine with conservative policy transfer via KL regularization and adaptive mixture rate alpha estimated from auxiliary Q function trained with PPO and generalized advantage estimation in Isaac Gym variable-resolution particle simulator with domain randomization sim-to-real on UR5e and nine real rock environments achieves about ninety percent success while reducing sampling time to less than one seventh versus fixed finest-resolution training
34,34,kalousdian2022learning,2022,Learning robotic manipulation natural materials,Learning robotic manipulation of natural materials with variable properties for construction tasks,Tier A,Structural Assembly and Installation,Low-level,Low-dim structured proprioceptive and task-relative observation with goal-direction vector from free end effector or transported bundle tip to target base-link quaternion five joint angles base-link angular velocity base-link linear velocity and finite observation history stack with injected Gaussian sensor noise,POMDP,MB/D/MB/MB,Bounded skill or supervisory,AM0,L3,Primary,Custom five-DoF brachiating mobile robot with force-feedback interlocking claws for bamboo assembly; tasks are reaching and transportation formulated as stochastic partially observable MDPs with policy outputting five joint position target offsets in degrees trained using PPO with asynchronous gradient descent in PhysX simulation of bamboo as rigid-body chains connected by damped oscillators; automatic domain randomization with dynamically adjusted curriculum over mechanical and geometric bamboo parameter ranges expands feasible configuration space while preserving success threshold and improves transfer to unseen configurations compared to fixed randomization; real hardware proof-of-concept demonstrates reaching transport and locomotion on bamboo structures
35,35,kim2026decomposition,2026,Decomposition-based IRL excavator bucket-swing planning,A simulation study of decomposition-based inverse reinforcement learning toward construction automation: The case of excavator in challenging environments,Tier B,"Navigation, Layout, and Logistics Support",High-level,Low-dim / engineered spatial-temporal state representation,MDP,MB/D/MB/MB,Bounded skill or supervisory,AM0,L0,Contextual,"Replacement for removed duplicate/boundary slot. Contextual boundary only: IRL not DRL; simulation-only; discretized high-level excavator actions, not hardware earthwork interaction physics."
36,36,lee2021autonomous,2021,Autonomous construction hoist high-rise,Autonomous construction hoist system based on deep reinforcement learning in high-rise building construction,Tier B,"Navigation, Layout, and Logistics Support",High-level multi-hoist dispatch and floor-serving decisions (discrete go-up go-down stop actions per decision step),Low-dim structured multi-hoist dispatch state per floor with hall-call up/down indicators car-call destination demands and per-hoist current floor direction speed and load-capacity variables (encoded into DQN inputs),MDP,MB/D/MB/MB,Task/planner-level,AM1,L2,Contextual,"Deep Q-network group controller for multiple construction hoists learns discrete dispatch actions in a 30-story multi-hoist simulator with sparse and delayed rewards tied to passenger waiting and lifting times. The trained policy is then validated on a lab-scale mock-up hoist platform synchronized with real-site call datasets using a hardware stack (remote hall-call pagers sensors auto-controller and group controller), showing total transportation-time reductions versus a human-operator model and SCAN/GA/LQF baselines. Assurance is controller-bounded and prototype-level; no independent runtime veto/fallback layer is reported."
37,37,lemouchi2024reinforcement,2024,RL Path Planning Mobile Cranes,Reinforcement Learning-Enhanced Path Planning for Mobile Cranes in Dynamic Construction Environments: A Virtual Reality Simulation Approach,Tier B,Material Placement and Lifting,Mid-level crane motion command policy over tracks/boom/hook DoFs in simulator,Low-dim / structured simulator state with crane and payload pose-velocity-rotation plus sensor-derived collision tags and a payload-connected boolean,MDP,MB/D/MB/MB,Task/planner-level,AM0,L0,Contextual,"VR+RL lift-path planning framework for a crawler mobile crane in a 3D simulated construction site. The agent controls crane components through simplified DoFs: tracks (translation and yaw), boom (rotations), and hook vertical motion; actions are penalized by time/energy proxies (track moves highest penalty, then boom, then hook) while rewards are given for successful pickup and final set-down. State includes element locations, velocities, and local rotations for crane/payload/environment plus sensor-based collision information and a binary indicator of whether payload is attached to the hook. Objective jointly targets reduced lifting time, lower energy-related movement cost, and improved collision avoidance. Training over millions of episodes shows convergence to shorter simulation time and higher cumulative rewards. Reported implementation is proof-of-concept and remains simulation-only; notably, obstacle rigid-body collisions were simplified/removed in the presented experiment to ensure full-run training, so real-site dynamic-obstacle robustness remains unvalidated."
