"inventory_id","citation_key","year","title","release_note"
"DI027","huang2023dexterous","2023","Dexterous manipulation of construction tools using anthropomorphic robotic hand","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI028","huang2023imitate","2023","To imitate or not to imitate: Boosting reinforcement learning-based construction robotic control for long-horizon tasks using virtual demonstrations","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI029","Jang2026","2026","Anti-swing overhead crane control algorithm based on multi-body dynamics using reinforcement learning","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI030","jin2023learning","2023","Learning excavation of rigid objects with offline reinforcement learning","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI031","jin2025path","2025","Path Planning and Control of Building Robots Based on Reinforcement Learning Algorithm in Intelligent Construction","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI032","jin2026harnessing","2026","Harnessing Human Expertise for High-Precision Robotic Assembly in Industrialized Construction: A Sample-Efficient Installer-in-the-Loop Interactive Reinforcement Learning Framework","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI033","kadokawa2025progressive","2025","Progressive-resolution policy distillation: Leveraging coarse-resolution simulations for time-efficient fine-resolution policy learning","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI034","kalousdian2022learning","2022","Learning robotic manipulation of natural materials with variable properties for construction tasks","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI035","kim2026decomposition","2026","A simulation study of decomposition-based inverse reinforcement learning toward construction automation: The case of excavator in challenging environments","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI036","lee2021autonomous","2021","Autonomous construction hoist system based on deep reinforcement learning in high-rise building construction","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI037","lemouchi2024reinforcement","2024","Reinforcement Learning-Enhanced Path Planning for Mobile Cranes in Dynamic Construction Environments: A Virtual Reality Simulation Approach","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI038","li2023enhancing","2023","Enhancing construction robot learning for collaborative and long-horizon tasks using generative adversarial imitation learning","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI039","lu2022excavation","2022","Excavation reinforcement learning using geometric representation","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI040","machado2023safe","2023","Safe Crane Handling with Collision-Free Path Planning using {DDPG}","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI041","matsumoto2020simulation","2020","Simulation-based reinforcement learning approach towards construction machine automation","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI042","mohiuddin2023zero","2023","Zero-shot Sim2Real transfer of Deep reinforcement learning controller for tower crane system","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI043","molaei2026data","2026","Data-driven rock capture with a standard excavator via model-free reinforcement learning","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI044","morais2025reinforcement","2025","Reinforcement Learning with World Models for Autonomous Excavation Optimization in Wheel Loaders","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI045","mori2025human","2025","Human-in-the-Loop Reinforcement Learning to Track Excavation Paths for a Hydraulic Excavator in a Short Period of Time","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI046","osa2022deep","2022","Deep reinforcement learning with adversarial training for automated excavation using depth images","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI047","osa2023learning","2023","Learning adaptive policies for autonomous excavation under various soil conditions by adversarial domain sampling","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI048","ozaki2024blade","2024","Blade control for bulk dozer push by bulldozer using reinforcement learning","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI049","parisi2024new","2024","A New Concept for Large Additive Manufacturing in Construction: Tower Crane-Based {3D} Printing Controlled by Deep Reinforcement Learning","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI050","poudel2025slam","2025","SLAM-Assisted Transformer-Based {TD3} Deep Reinforcement Learning for Adaptive Navigation and Mapping and Dynamic Obstacle Avoidance in Autonomous Construction Robotics","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI051","shen2024generalized","2024","Generalized Framework for Wheel Loader Automatic Shoveling Task with Expert Initialized Reinforcement Learning","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI052","shin2025adaptive","2025","Adaptive Excavation Automation in Complex Soil Environments Using Reinforcement Learning","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI053","spinelli2026large","2026","Large-Scale Robotic Material Handling: Learning, Planning, and Control","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI054","taheri2024end","2024","End-effector cartesian velocity control for redundant loader cranes using reinforcement learning","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI055","tan2025reinforcement","2025","Reinforcement learning-based trajectory planning for continuous digging of excavator working devices in trenching tasks","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI056","cho2026collaborative","2026","Collaborative learning architecture for autonomous excavator planning and execution","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI057","tarutani2020accuracy","2020","Accuracy and Generality of Trained Models for Lift Planning Using Deep Reinforcement Learning-Optimization of the Crane Hook Movement between Two Points","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI058","wu2025robot","2025","Robot in the loop: a human-centered approach to contextualizing {AI} and robotics in construction","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI059","xiao2025_modular","2025","Autonomous modular construction strategy using robotized crane based on deep learning and reinforcement learning","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI060","xiao2025autonomous","2025","Autonomous construction framework for crane control with enhanced soft actor--critic algorithm and real-time progress monitoring","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI061","ye2025eulerian","2025","A Eulerian Circuit-Based Reinforcement Learning Path Optimization Method for {3D} Concrete Printing","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI062","zeng2025reinforcement","2025","Reinforcement Learning Assisted Robotic Construction for Masonry Block Dry-Stacking in Simulation Environments","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI063","zhu2021deep","2021","Deep reinforcement learning for prefab assembly planning in robot-based prefabricated construction","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI064","zhu2022excavation","2022","Excavation of fragmented rocks with multi-modal model-based reinforcement learning","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI065","zhu2023deep","2023","Deep reinforcement learning for real-time assembly planning in robot-based prefabricated construction","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI066","gannouni2023tunnelring","2023","Experimental Digital Twin of a Tunnel Ring Building Erector","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI067","balazy2024reinforcement","2024","Reinforcement Learning-Based Overhead Crane Control for Handling in Sensor-Failure Scenarios","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI068","yi2024substructure","2024","Substructure-Preserving Generalization for on-site robotic construction planning","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI069","ning2025cooperative","2025","Cooperative Relaying for Connected Construction Equipment Networks With Hybrid Hierarchical Proximal Policy Optimization","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI070","ishihara2024mpc","2024","Controlling Autonomous Machines at Construction Sites with Heterogeneous Moving Objects by Model Predictive Control","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI071","saffari2025miniature","2025","Robotization of Miniature-Scale Radio-Controlled Excavator: A New Medium for Construction- Specific DNN Data Generation","Bibliographic reference index for the 166-source syn…1699 tokens truncated… reinforcement learning","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI097","liu2022option","2022","Option-based multi-agent reinforcement learning for painting with multiple large-sized robots","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI098","maguire2025lidar","2025","LiDAR-Only Navigation of UGVs in Dynamic Environments via Graph Attention Networks and Deep Reinforcement Learning","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI099","salas2025autonomous","2025","Autonomous loading of ore piles with Load-Haul-Dump machines using deep reinforcement learning","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI100","sartoretti2019distributed","2019","Distributed Reinforcement Learning for Multi-robot Decentralized Collective Construction","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI101","spinelli2024reinforcement","2024","Reinforcement learning control for autonomous hydraulic material handling machines with underactuated tools","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI102","tan2025disturbance","2025","Disturbance compensation-based deep reinforcement learning control strategy for underactuated overhead crane systems: Design and experiments","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI103","wang2024integrated","2024","Integrated reinforcement and imitation learning for tower crane lift path planning","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI104","wang_reinforcement_2025","2025","Reinforcement learning-based continuous path planning and automated concrete {3D} printing of complex hollow components","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI105","Wei20251252","2025","Fixed-Time Convergence Ding2025Adaptive Robust Controller for Overhead Cranes Based on Reinforcement Learning Considering Input Saturation","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI106","xu_deep_2023","2023","Deep Reinforcement Learning-based Task Assignment and Path Planning for Multi-agent Construction Robots","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI107","yasutomi2023visual","2023","Visual spatial attention and proprioceptive data-driven reinforcement learning for robust peg-in-hole task under variable conditions","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI108","Yin202288","2022","A Real-time Smooth Lifting Path Planning for Tower Crane Based on {TD3} with Discrete-Continuous Hybrid Action Space","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI109","yoo20243d","2024","3d operation of autonomous excavator based on reinforcement learning through independent reward for individual joints","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI110","yoon_reinforcement_2026","2026","Reinforcement learning-driven adaptive {3D} simulation and visualization of excavator operations","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI111","yu_teaching_2025","2025","Teaching Robot End Effectors to Grasp Construction Tools Based on Deep Reinforcement Learning","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI112","zamfirache2024adaptive","2024","Adaptive reinforcement learning-based control using proximal policy optimization and slime mould algorithm with experimental tower crane system validation","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI113","zamfirache2025safe","2025","Safe reinforcement learning-based control using deep deterministic policy gradient algorithm and slime mould algorithm with experimental tower crane system validation","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI114","zhang2023deep","2023","Deep reinforcement learning with domain randomization for overhead crane control with payload mass variations","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI115","cheng2025deep","2025","Deep Reinforcement Learning for Tower Crane Layout Planning in Dense Multi-Building Sites","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI116","zhang_towards_2022","2022","Towards Autonomous and Optimal Excavation of Shield Machine: A Deep Reinforcement Learning-Based Approach","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI117","Zhao2020202","2020","Model accelerated reinforcement learning for high precision robotic assembly","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI118","zhu_robot_2020","2020","Robot construction simulation using deep reinforcement learning","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI119","trovinger2025vision","2025","Reinforcement Learning with Vision-based State Estimation for Generalized Robotic Assembly","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI120","liang2020teaching","2020","Teaching robots to perform quasi-repetitive construction tasks through human demonstration","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI121","lee2022digital","2022","Digital Twin-Driven Deep Reinforcement Learning for Adaptive Task Allocation in Robotic Construction","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI122","chen2025assemblycomplete","2025","AssemblyComplete: 3D Combinatorial Construction with Deep Reinforcement Learning","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI123","ross2021agpnet","2022","AGPNet -- Autonomous Grading Policy Network","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI124","shen2026solving","2026","Solving robotics tasks with prior demonstration via exploration-efficient deep reinforcement learning","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI125","Sun2026","2026","Digital twin--enabled real-time control of tunnel boring machines using deep reinforcement learning for cumulative settlement management","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI126","Lin2024","2024","Physics-informed deep reinforcement learning for enhancement on tunnel boring machine's advance speed and stability","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI127","Cao202447","2024","Model-based offline reinforcement learning framework for optimizing tunnel boring machine operation","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI128","wang2025intelligent","2026","Intelligent attitude control in tunnel boring machine considering uncertain underground environment using deep reinforcement learning","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI129","Azulay202124145","2021","Wheel loader scooping controller using deep reinforcement learning","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI130","Zhang2025","2025","Time-optimal online trajectory planning for excavator robotics based on reinforcement learning","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI131","Heyu20222547","2022","Impedance control method with reinforcement learning for dual-arm robot installing slabstone","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI132","Osaka2021","2021","Route optimization for autonomous bulldozer by distributed deep reinforcement learning","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI133","Borngrund2023","2023","Autonomous navigation of wheel loaders using task decomposition and reinforcement learning","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI134","MakiPenttila2025","2025","Autonomous wheel loader navigation using goal-conditioned actor-critic MPC","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI135","Wei2026POMDP","2026","A hierarchical partially observable Markov decision process framework for tunnel boring machine trajectory navigation","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI136","LinPosition2024","2024","Automated position control of tunnel boring machine during excavation using deep reinforcement learning","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI137","kim2022reinforcement","2022","Reinforcement learning-based transportation and sway suppression methods for gantry cranes in simulated environment","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI138","Chun20221430","2022","Automation of crane control for block lifting based on deep reinforcement learning","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI139","Guo2021210","2021","Real-time obstacles avoidance for crawler crane based on DQN","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI140","Jang2026100763","2026","Domain-Model-Map-based reinforcement learning for feedforward anti-sway control of overhead cranes","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI141","wu2023deep","2023","Deep reinforcement learning-based control for asynchronous motor-actuated triple pendulum crane systems with distributed mass payloads","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI142","Sardarmehni20239821","2023","Path planning and energy optimization in optimal control of autonomous wheel loaders using reinforcement learning","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI143","Kreis2025821","2025","Interactive shaping of granular media using reinforcement learning","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI144","Navazani2026622","2025","Reinforcement learning-based motion planning for robotic bricklaying in construction environments","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI145","wang2024deep","2024","Deep reinforcement learning based online lifting path planning for tower cranes in unknown dynamic environments","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI146","CoopWorkSim2025","2025","Cooperative Work Simulation of Construction Equipment using Multi-Agent Deep Reinforcement Learning","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI147","SlurryShield2023","2023","Coordinated tuning of slurry shield control parameters based on reinforcement learning","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI148","Ding2025","2025","Deep reinforcement learning-based trajectory planning for double pendulum cranes: Design and experiments","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI149","Zhang2025106123","2025","Multi-task deep reinforcement learning for dynamic scheduling of large-scale fleets in earthmoving operations","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI150","Wang2024105538","2024","Synchronized path planning and tracking for front and rear axles in articulated wheel loaders","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI151","Wang2026104580","2026","Mixed reality and machine learning-guided cable robot framework (MMCR) for real-time prefabricated construction automation","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
